CustomerName;Age;MaritalStatus;Gender;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;CustomerType;CustomerScore
Jon Yang;58;M;M;90000,00;2;0;Bachelors;Professional;1;0;Person;Standard
Eugene Huang;59;S;M;60000,00;3;3;Bachelors;Professional;0;1;Person;Standard
Ruben Torres;59;M;M;60000,00;3;3;Bachelors;Professional;1;1;Person;Standard
Christy Zhu;56;S;F;70000,00;0;0;Bachelors;Professional;0;1;Person;Good
Elizabeth Johnson;56;S;F;80000,00;5;5;Bachelors;Professional;1;4;Person;Poor
Julio Ruiz;59;S;M;70000,00;0;0;Bachelors;Professional;1;1;Person;Good
Janet Alvarez;59;S;F;70000,00;0;0;Bachelors;Professional;1;1;Person;Good
Marco Mehta;60;M;M;60000,00;3;3;Bachelors;Professional;1;2;Person;Standard
Rob Verhoff;60;S;F;60000,00;4;4;Bachelors;Professional;1;3;Person;Poor
Shannon Carlson;60;S;M;70000,00;0;0;Bachelors;Professional;0;1;Person;Good
Jacquelyn Suarez;60;S;F;70000,00;0;0;Bachelors;Professional;0;1;Person;Good
Curtis Lu;61;M;M;60000,00;4;4;Bachelors;Professional;1;4;Person;Poor
Lauren Walker;56;M;F;100000,00;2;0;Bachelors;Management;1;2;Person;Good
Ian Jenkins;56;M;M;100000,00;2;0;Bachelors;Management;1;3;Person;Good
Sydney Bennett;56;S;F;100000,00;3;0;Bachelors;Management;0;3;Person;Standard
Chloe Young;45;S;F;30000,00;0;0;Partial College;Skilled Manual;0;1;Person;Good
Wyatt Hill;45;M;M;30000,00;0;0;Partial College;Skilled Manual;1;1;Person;Good
Shannon Wang;80;S;F;20000,00;4;0;High School;Skilled Manual;1;2;Person;Poor
Clarence Rai;80;S;M;30000,00;2;0;Partial College;Clerical;1;2;Person;Poor
Luke Lal;46;S;M;40000,00;0;0;High School;Skilled Manual;0;2;Person;Standard
Jordan King;46;S;M;40000,00;0;0;High School;Skilled Manual;0;2;Person;Standard
Destiny Wilson;46;S;F;40000,00;0;0;Partial College;Skilled Manual;0;1;Person;Good
Ethan Zhang;46;M;M;40000,00;0;0;Partial College;Skilled Manual;1;1;Person;Good
Seth Edwards;46;M;M;40000,00;0;0;Partial College;Skilled Manual;1;1;Person;Good
Russell Xie;46;M;M;60000,00;0;0;Partial College;Skilled Manual;1;2;Person;Good
Alejandro Beck;79;M;M;10000,00;2;1;Partial High School;Clerical;1;2;Person;Poor
Harold Sai;78;S;M;30000,00;2;0;Partial College;Clerical;0;2;Person;Poor
